Date,Open,High,Low,Close,Volume,Adj Close
2016-09-01,11.10,11.12,11.00,11.08,000,11.08
2016-08-01,11.12,11.12,11.07,11.10,000,11.10
2016-07-01,11.12,11.18,11.08,11.14,000,11.117921
2016-06-01,10.90,11.09,10.90,11.09,000,11.046103
2016-05-02,10.90,10.97,10.87,10.90,000,10.835279
2016-04-01,10.91,10.95,10.86,10.92,000,10.832212
2016-03-01,10.78,10.90,10.76,10.90,000,10.790589
2016-02-01,10.75,10.86,10.75,10.82,000,10.688749
2016-01-04,10.66,10.77,10.65,10.77,000,10.617703
2015-12-01,10.75,10.75,10.62,10.64,000,10.467078
2015-11-02,10.75,10.75,10.66,10.71,000,10.505247
2015-10-01,10.79,10.84,10.75,10.76,000,10.532611
2015-09-01,10.75,10.79,10.69,10.78,000,10.529611
2015-08-03,10.80,10.82,10.72,10.72,000,10.449656
2015-07-01,10.68,10.79,10.67,10.78,000,10.486617
2015-06-01,10.82,10.82,10.66,10.72,000,10.406909
2015-05-01,10.88,10.88,10.78,10.85,000,10.511516
2015-04-01,11.02,11.02,10.92,10.92,000,10.55788
2015-03-02,10.91,11.01,10.84,10.98,000,10.595475
2015-02-02,11.09,11.09,10.88,10.96,000,10.551109
2015-01-02,10.90,11.10,10.90,11.10,000,10.665356
2014-12-01,10.90,10.93,10.82,10.87,000,10.422622
2014-11-03,10.85,10.91,10.83,10.91,000,10.411981
2014-10-01,10.84,10.95,10.82,10.86,000,10.343325
2014-09-02,10.84,10.85,10.74,10.78,000,10.245407
2014-08-01,10.81,10.88,10.81,10.88,000,10.318406
2014-07-01,10.81,10.83,10.76,10.78,000,10.201955
2014-06-02,10.82,10.83,10.76,10.83,000,10.226477
2014-05-01,10.78,10.86,10.76,10.84,000,10.214162
2014-04-01,10.68,10.76,10.66,10.75,000,10.106952
2014-03-03,10.76,10.76,10.65,10.69,000,10.02806
2014-02-03,10.74,10.74,10.67,10.73,000,10.042044
2014-01-02,10.57,10.70,10.57,10.70,000,9.993454
2013-12-02,10.63,10.64,10.56,10.56,000,9.840557
2013-11-01,10.69,10.69,10.62,10.66,000,9.903744
2013-10-01,10.65,10.73,10.63,10.72,000,9.937064
2013-09-03,10.54,10.67,10.47,10.66,000,9.859324
2013-08-01,10.62,10.67,10.51,10.58,000,9.764219
2013-07-01,10.68,10.71,10.56,10.67,000,9.825892
2013-06-03,10.87,10.87,10.59,10.67,000,9.805614
2013-05-01,11.11,11.11,10.87,10.87,000,9.969733
2013-04-01,11.01,11.09,11.00,11.08,000,10.141792
2013-03-01,11.04,11.04,10.95,11.00,000,10.048593
2013-02-01,10.98,11.04,10.97,11.03,000,10.039424
2013-01-02,11.06,11.07,10.99,10.99,000,9.983954
2012-12-03,11.19,11.20,11.08,11.09,000,10.054632
2012-11-01,11.18,11.22,11.16,11.19,000,10.073308
2012-10-01,11.21,11.21,11.14,11.19,000,10.052603
2012-09-04,11.21,11.21,11.11,11.20,000,10.039968
2012-08-01,11.21,11.22,11.08,11.21,000,10.028296
2012-07-02,11.13,11.25,11.12,11.23,000,10.023723
2012-06-01,11.16,11.16,11.07,11.10,000,9.885592
2012-05-01,11.03,11.12,11.03,11.12,000,9.881139
2012-04-02,10.95,11.04,10.91,11.04,000,9.787073
2012-03-01,11.02,11.05,10.89,10.94,000,9.67556
2012-02-01,11.06,11.07,10.99,11.04,000,9.7311
2012-01-03,10.98,11.07,10.96,11.07,000,9.734585
2011-12-01,10.95,11.08,10.93,11.00,000,9.649393
2011-11-01,11.08,11.08,10.96,10.96,000,9.545348
2011-10-03,11.07,11.07,10.90,11.02,000,9.57313
2011-09-27,10.99,11.03,10.99,11.03,000,9.556417
